ADHAR_NO,NAME,FATHER_NAME,GENDER,MOBILE_NO,EMAIL,ADDRESS,QUALIFICATION,JOB_PROFILE,DEPARTMENT,EMP_CATEGORY,JOIN_DATE,END_DATE,SALARY
107692229871,AGgy,Ambroise,Female,9249167871,mambroise3d@list-manB.Tech-AGe.com,21 Eggendart Circle,M.sc,Accounts,ACCOUNTS,Non Academic,7/5/2021,12/4/2021,49998
108595973979,Hally,Ropkins,Female,9089451925,hropkins3e@oaic.gov.au,69 Lerdahl Center,M.sc,Accounts,ACCOUNTS,Non Academic,5/16/2022,1/23/2022,47551
102016923902,Ellen,Player,Female,4141449567,eplayer3f@imgur.com,40459 Cherokee Crossing,M.sc,Accounts,ACCOUNTS,Non Academic,3/24/2022,2/3/2022,18826
106102951230,Barbra,Aulsford,Female,7759054352,baulsford3h@whitehouse.gov,421 Grayhawk Place,M.sc,Accounts,ACCOUNTS,Non Academic,9/11/2021,6/13/2021,10835
106947310491,Rey,Sweedland,Female,1797663303,rsweedland3j@archive.org,6088 Glacier Hill Court,M.sc,Accounts,ACCOUNTS,Non Academic,2/23/2022,1/5/2022,30628
104891687129,Hercules,Follet,Male,9331151284,hfollet3b@geocities.com,053 Scott Point,M.sc,Accounts,ACCOUNTS,Non Academic,10/22/2021,11/16/2021,39560
103841775588,Jarred,Heyfield,Male,2254364705,jheyfield3c@amazon.de,3 Columbus Place,M.sc,Accounts,ACCOUNTS,Non Academic,1/6/2022,1/11/2022,24049
110399421094,Saundra,Leverson,Male,5828105786,sleverson3i@ebay.com,0 Shopko Crossing,M.sc,Accounts,ACCOUNTS,Non Academic,4/21/2022,8/23/2021,41486
106908751303,Carleton,Pollett,Male,3466732210,cpollett3k@mediafire.com,2 Memorial Park,M.sc,Accounts,ACCOUNTS,Non Academic,11/24/2021,5/28/2021,35341
105366517249,Helen-elizabeth,Bowery,Male,1881306292,hbowery3g@census.gov,25479 Swallow Parkway,M.sc,Accounts,ACCOUNTS,Non Academic,2/8/2022,11/14/2021,36881
108410664910,Verina,Bastable,Female,8501270728,vbastable1d@accuweather.com,098 Buhler Avenue,M.Tech,Asst.Professor,B.Tech-AG,Academic,11/30/2021,9/8/2021,9205
105696417930,Anya,Loncaster,Female,9143139387,aloncaster1f@marriott.com,49532 Red Cloud Parkway,M.Tech,Asst.Professor,B.Tech-AG,Academic,11/1/2021,2/15/2022,46256
101130889625,Queenie,Nutt,Female,4985291111,qnutt1g@google.com.hk,499 Pond Point,M.Tech,Asst.Professor,B.Tech-AG,Academic,12/31/2021,4/6/2022,34123
105841493467,Roshelle,Corston,Female,2053059854,rcorston1i@dmoz.org,2039 Prairieview Avenue,M.Tech,Asst.Professor,B.Tech-AG,Academic,2/15/2022,3/31/2022,33459
